Name_x,Price_x,UnitPrice_x,UnitPriceString,Unit_x,Best_Match,Match_Score,Name_y,Price_y,Amount,Quantity,is_match,Amount_Value,Unit_y,UnitPrice_y,Unit_Difference,Price_Difference
"POWERADE Electrolyte Enhanced Mountain Berry Blast Sport Drink, 20 fl oz, Bottle",0.73,0.037,3.7 ¢/fl oz,FO,POWERADE GRAPE,83.33333333333334,POWERADE GRAPE,0.85,20 OZ,1.0,,20.0,OZ,0.042499999999999996,,0.12
"RUSSELL STOVER Sugar Free Coconut Chocolate Candy, 3 oz. bag (≈ 6 pieces)",9.79,,,,RUSSELL STOVER STRAW S/F,80.0,RUSSELL STOVER STRAW S/F,3.19,3 OZ,1.0,,3.0,OZ,1.0633333333333332,,6.6
SPLENDA® NO CALORIE SWEETENER PACKETS - 100CT,4.47,4.47,$4.47/oz,,DULCE CANA 0 CALORIE SWEETENER,77.96610169491525,DULCE CANA 0 CALORIE SWEETENER,2.93,100 CT,1.0,,100.0,CT,0.029300000000000003,,1.5399999999999996
SPLENDA® NO CALORIE SWEETENER PACKETS - 100CT,4.47,4.47,$4.47/oz,,DULCE CANA 0 CALORIE SWEETENER,77.96610169491525,DULCE CANA 0 CALORIE SWEETENER,2.05,50 CT,1.0,,50.0,CT,0.040999999999999995,,2.42
TRIDENT SPLASH SL GUM,1.24,0.0013800000000000002,13.8 ¢/count,CT,TRIDENT W SPEARMINT,70.96774193548387,TRIDENT W SPEARMINT,3.29,3 PK,1.0,,3.0,PK,1.0966666666666667,,2.05
"BRAD'S MULTIGRAIN CHIPS ORGANIC, 9 OZ",7.71,,,,BRADS ORG MULTIGRAIN CHIPS,89.79591836734694,BRADS ORG MULTIGRAIN CHIPS,4.45,9 OZ,1.0,,9.0,OZ,0.49444444444444446,,3.26
"GREY GOOSE Vodka, 750 ml Bottle, ABV 40%",30.73,1.21,$1.21/fl oz,FO,GREY GOOSE VODKA,85.71428571428572,GREY GOOSE VODKA,36.49,750 ML,1.0,,750.0,ML,0.04865333333333333,,5.760000000000002
"BACARDI Limon Rum, Gluten Free, 750 mL Bottle, ABV 35%",11.98,0.472,47.2 ¢/fl oz,FO,BACARDI LIME,85.71428571428572,BACARDI LIME,13.29,750 ML,1.0,,750.0,ML,0.01772,,1.3099999999999987
"Bundle: IAMS PROACTIVE HEALTH Urinary Tract Health Dry Cat Food with Chicken, 16 lb. Bag & IAMS PERFECT PORTIONS Indoor Grain Free* Wet Cat Food Pate Variety Pack, Salmon & Turkey, 2.6 oz. Trays",46.56,,,,ROMAINE HEARTS,71.42857142857143,ROMAINE HEARTS,5.97,12 OZ,1.0,,12.0,OZ,0.4975,,40.59
"SUNBEST Shelled Unsalted Raw Pumpkin Seeds / Pepitas Raw 3 Lb, No Shell, Pumpkin Seed Kernels (48 Oz)",19.99,6.66,$6.66/lb,,SUNBEST GINGER,72.72727272727273,SUNBEST GINGER,5.47,8 OZ,1.0,,8.0,OZ,0.68375,,14.52
